s__Atopobium_rimae	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Coriobacteriales	f__Coriobacteriaceae	g__Atopobium	s__rimae
s__Prevotella_buccalis	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__buccalis
s__Micrococcus_luteus	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Micrococcus	s__luteus
s__Actinobacillus_succinogenes	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Actinobacillus	s__succinogenes
s__Lactobacillus_plantarum	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__plantarum
s__Atopobium_parvulum	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Coriobacteriales	f__Coriobacteriaceae	g__Atopobium	s__parvulum
s__Bulleidia_extructa	k__Bacteria	p__Firmicutes	c__Erysipelotrichi	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Bulleidia	s__extructa
s__Pseudoramibacter_alactolyticus	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Pseudoramibacter	s__alactolyticus
s__Gardnerella_vaginalis	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Gardnerella	s__vaginalis
s__Bacteroides_xylanisolvens	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__xylanisolvens
s__Staphylococcus_epidermidis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__epidermidis
s__Collinsella_intestinalis	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	s__intestinalis
s__Staphylococcus_hominis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
s__Streptococcus_gordonii	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__gordonii
s__Propionibacterium_acnes	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Propionibacteriaceae	g__Propionibacterium	s__acnes
s__Herbaspirillum_seropedicae	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Oxalobacteraceae	g__Herbaspirillum	s__seropedicae
s__Methanobrevibacter_unclassified	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__unclassified
s__Mycobacterium_unclassified	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	s__unclassified
s__Bacteroides_uniformis	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__uniformis
s__Bifidobacterium_unclassified	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__unclassified
s__Fusobacterium_gonidiaformans	k__Bacteria	p__Fusobacteria	c__Fusobacteria	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__gonidiaformans
s__Bacteroides_pectinophilus	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__pectinophilus
s__Desulfovibrio_piger	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__piger
s__Streptococcus_pneumoniae	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__pneumoniae
s__Clostridium_scindens	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__scindens
s__Clostridium_perfringens	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__perfringens
s__Ruminococcus_obeum	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__obeum
s__Prevotella_bergensis	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__bergensis
s__Haemophilus_parainfluenzae	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Haemophilus	s__parainfluenzae
s__Listeria_monocytogenes	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Listeriaceae	g__Listeria	s__monocytogenes
s__Eubacterium_hallii	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium	s__hallii
s__Faecalibacterium_cf	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Faecalibacterium	s__cf
s__Neisseria_meningitidis	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Neisseriales	f__Neisseriaceae	g__Neisseria	s__meningitidis
s__Blautia_unclassified	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiales_uncl	g__Blautia	s__unclassified
s__Prochlorococcus_marinus	k__Bacteria	p__Cyanobacteria	c__Cyanophyceae	o__Synechococcales	f__Synechococcaceae	g__Prochlorococcus	s__marinus
s__Veillonella_unclassified	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Veillonellaceae	g__Veillonella	s__unclassified
s__Ruminococcus_gnavus	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Ruminococcus	s__gnavus
s__Lactobacillus_crispatus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__crispatus
s__Methanobrevibacter_smithii	k__Archaea	p__Euryarchaeota	c__Methanobacteria	o__Methanobacteriales	f__Methanobacteriaceae	g__Methanobrevibacter	s__smithii
s__Prevotella_melaninogenica	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__melaninogenica
s__Bifidobacterium_breve	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__breve
s__Streptococcus_oralis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__oralis
s__Enterococcus_faecium	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Enterococcaceae	g__Enterococcus	s__faecium
s__Pasteurella_unclassified	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__Pasteurella	s__unclassified
s__Pyramidobacter_piscolens	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Synergistaceae	g__Pyramidobacter	s__piscolens
s__Gemella_unclassified	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillales_uncl	g__Gemella	s__unclassified
s__Alkaliphilus_unclassified	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Alkaliphilus	s__unclassified
s__Lactobacillus_acidophilus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__acidophilus
s__Lactobacillus_brevis	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__Lactobacillus	s__brevis
s__Mycobacterium_abscessus	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Mycobacteriaceae	g__Mycobacterium	s__abscessus
s__Bacteroides_unclassified	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Bacteroidaceae	g__Bacteroides	s__unclassified
s__Methylobacterium_radiotolerans	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Methylobacteriaceae	g__Methylobacterium	s__radiotolerans
s__Pantoea_ananatis	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacteriales	f__Enterobacteriaceae	g__Pantoea	s__ananatis
s__Bifidobacterium_catenulatum	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Bifidobacteriales	f__Bifidobacteriaceae	g__Bifidobacterium	s__catenulatum
s__Acinetobacter_unclassified	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__unclassified
s__Veillonella_parvula	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Selenomonadales	f__Veillonellaceae	g__Veillonella	s__parvula
s__Actinomyces_urogenitalis	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Actinomycetaceae	g__Actinomyces	s__urogenitalis
s__Pseudomonas_putida	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__putida
s__Campylobacter_gracilis	k__Bacteria	p__Proteobacteria	c__Epsilonproteobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter	s__gracilis
s__Rothia_mucilaginosa	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Micrococcaceae	g__Rothia	s__mucilaginosa
s__Eubacterium_limosum	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium	s__limosum
s__Streptococcus_cristatus	k__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Streptococcaceae	g__Streptococcus	s__cristatus
s__Corynebacterium_aurimucosum	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Corynebacteriaceae	g__Corynebacterium	s__aurimucosum
s__Rhodopseudomonas_palustris	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Bradyrhizobiaceae	g__Rhodopseudomonas	s__palustris
s__Clostridium_asparagiforme	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__asparagiforme
