Taxa	ko00020	ko00120	ko00130	ko00190	ko00196	ko00232	ko00250	ko00280	ko00330	ko00340	ko00351	ko00360	ko00361	ko00364	ko00401	ko00410	ko00471	ko00472	ko00523	ko00540	ko00592	ko00623	ko00630	ko00633	ko00643	ko00680	ko00710	ko00720	ko00760	ko00860	ko00901	ko00906	ko00910	ko00941	ko00944	ko00960	ko00965	ko00984	ko01053	ko01056	ko02040	ko03018	ko04614	ko04964	ko05134
s__Leptotrichia_unclassified	0.006873483114994417	0.004403085733971972	0.007000679009251052	0.0029334600692194597	0.0	0.0	0.0062693455746958456	0.013697933513378653	0.007140775138335232	0.010486574029161077	0.002892406259222786	0.004805446609348989	0.00601955256942492	0.0	0.0032194229002475093	0.00619515598139885	0.004337210067685784	0.0044222630792576266	0.011579230063237455	0.0060090877101032815	0.006139266487749541	0.007534577989892961	0.006281096638289205	0.007176082870486331	0.0064123032898459695	0.010785408792087763	0.017322502905831108	0.0056350442707767566	0.00796845886554775	0.012868389292586966	0.0	0.005380819394928224	0.007038620161077356	0.13484047774756389	0.004418440550427558	0.007576084026887604	0.0	0.0	0.009569595728607414	0.0	0.004453305778472159	0.006763779024876722	0.0	0.007488446038371093	0.009833470588282689
s__Megasphaera_micronuciformis	0.015121094961349585	0.00913516023243932	0.02763091231041954	0.021009905361237403	0.0	0.0	0.013741496836952524	0.005732649111582299	0.026040333331411654	0.029935705410502618	0.004509823455012039	0.02536626220720575	0.012422372563054314	0.0	0.009408067311648277	0.01920311872305651	0.010786033949390645	0.010161400940287599	0.012768607529940674	0.0224457918739954	0.010857444045545868	0.0071747585801299795	0.02088376690275497	0.02020447551290941	0.014465923647134993	0.027159061829918365	0.015843888749052633	0.008115855552271846	0.03034041614182315	0.02167633480333573	0.0	0.011127905796222153	0.007005603158573337	0.016791365614164597	0.01424675029887651	0.009348572892089901	0.0	0.0	0.02182876742979408	0.0	0.010290815728409178	0.006410630328493665	0.0	0.018058496814840883	0.009801030097518969
s__Neisseria_cinerea	0.005363345850429982	0.0025876391118006842	0.004314665387774948	0.015426163981878122	0.0	0.0	0.017833683046042454	0.007838645847168473	0.004795786737290065	0.004586738972689315	0.0031292639845696716	0.002030973151505949	0.006720277620530311	0.0	0.0036978915127451268	0.008675196206307603	0.0016529833982128182	0.0022493712545159127	0.011542143359165813	0.007442984814683101	0.044869981514080795	0.005625805532870622	0.007707924269558608	0.0035267744117521904	0.017707888152256736	0.0028393822714106545	0.010209921444806506	0.006500341052373146	0.019238821344197306	0.0019501110609281378	0.0	0.05306960905748395	0.009036667058802298	0.005944679502815076	0.0038522483351065714	0.0031715796426746755	0.0	0.0	0.004886078573169946	0.0	0.003019069457768381	0.0111338783882538	0.0	0.004758370333819478	0.005248277034552766
s__Neisseria_elongata	0.0014141098592715855	0.0019688648966857515	0.003297968962444132	0.006692509797596442	0.0	0.0	0.008419068814394248	0.006847381610897628	0.008660564795892514	0.0031975142972357176	0.001244194652953051	0.0046794300209744505	0.0031232250922224513	0.0	0.004056629773930952	0.006307674660593728	0.001603762760402245	0.0017883608023375871	0.00482727355470067	0.003672106137635136	0.023980165419020753	0.0032312619544214564	0.006977382693747072	0.001431136474734356	0.019090030125955604	0.0025487725126977744	0.0013554573991658985	0.0013507809012824794	0.00831204998955427	0.0013617631336719296	0.0	0.021788173337826938	0.003856237937548196	0.0036086398006166445	0.002609071409723701	0.0029993037743249427	0.0	0.0	0.003678281677905566	0.0	0.0017609142259733593	0.0017988078756265172	0.0	0.002889699956299131	0.0021885675232836558
s__Neisseria_flavescens	0.13692089702575141	0.060023178034537446	0.09461036311330626	0.30369148456255857	0.0	0.0	0.2508206816684063	0.04358631556829834	0.2686315420829214	0.21039841632302628	0.045323834633146244	0.22046657525743996	0.1007356189307398	0.0	0.1329501884576972	0.18399511517624012	0.06168852892467881	0.08130764994763438	0.2420718175409795	0.1207779700388503	0.43009517068101966	0.14162964635515837	0.15522976418111975	0.05600851502734082	0.42952485547478364	0.04880651704013954	0.10685765403010022	0.17325405299181967	0.14357371756725026	0.05847215031752901	0.0	0.39392221786246573	0.16180036854870436	0.08049408212450263	0.09132874819858432	0.14921423407845885	0.0	0.0	0.14829602828212352	0.0	0.08730017825219644	0.12499131119207099	0.0	0.11559959288028696	0.28248006630270395
s__Neisseria_mucosa	0.037928402330223196	0.019859530932074886	0.024455967325460595	0.10632016102908255	0.0	0.0	0.1117659516472911	0.02207886712634577	0.1006045458547622	0.05174016712635656	0.007843866416610359	0.05094303958467149	0.02455096654206375	0.0	0.03466070397409105	0.06949528203969056	0.014939210374112414	0.01812913126829455	0.05363057784591843	0.036752969803439624	0.16793058499208657	0.0423577129371023	0.05666161454245049	0.05101516491148001	0.08948362388177646	0.01911822365639018	0.02789263416718411	0.050812803710524886	0.08614300628971651	0.015295435063495235	0.0	0.19362092841722375	0.05755184244102276	0.026124830440325052	0.01955816415424947	0.03833183972582257	0.0	0.0	0.028714552049690326	0.0	0.014398168164757565	0.046401576858305635	0.0	0.02878832374433873	0.07621961956072199
s__Neisseria_sicca	0.03415689850417304	0.014316622070773319	0.02534793021011394	0.07593110409918488	0.0	0.0	0.05968268039818053	0.06957268948983722	0.08207131263919258	0.041464230260063746	0.007811199001631159	0.07521004574256061	0.02339080740688408	0.0	0.03658030274508334	0.06395348125615857	0.014874331741035404	0.018526545830848982	0.053694554448832095	0.038201301554679795	0.1668747765136752	0.03278969666790336	0.05238008769287436	0.03166512269345477	0.1489459859747669	0.01022022695740963	0.013752324396934761	0.04151663430316353	0.10672726472867333	0.013317933368473119	0.0	0.14378412711063232	0.0435447642788964	0.025168343596255152	0.017194788644272315	0.034714980078631004	0.0	0.0	0.024694589016466602	0.0	0.014562407188025721	0.0205520939592877	0.0	0.026956058270111105	0.05058080819948655
s__Neisseria_subflava	0.03950440752652333	0.020892749144584923	0.026319891470868093	0.08121814566824956	0.0	0.0	0.0663856577163261	0.0674938511165666	0.07364963990592811	0.05517703025086583	0.015200711978621415	0.04249639720389854	0.030522275375527604	0.0	0.03856439059417239	0.059523366822668025	0.021232021483487327	0.027590463147315905	0.02996323512714433	0.03431019714984291	0.152317587187193	0.04103899783633082	0.03997919389076841	0.017066614180047443	0.06039500223152394	0.015372508335716852	0.02860714959013643	0.04599669609527669	0.036305910794045604	0.018018877332627845	0.0	0.12561737823650737	0.04605305764274241	0.025287302913820017	0.030673909156624116	0.037347313588075665	0.0	0.0	0.020329491281805383	0.0	0.024492249910986773	0.04747223125965443	0.0	0.0358458886804543	0.053668122910845543
s__Neisseria_unclassified	0.02178638234459313	0.12907789960551672	0.015038012815261062	0.0426871744504627	0.0	0.0	0.05158978577432175	0.026012043141652088	0.040122734935647913	0.04060327695381794	0.008283969971513826	0.0300990349804668	0.019060144054773343	0.0	0.01687196498707587	0.024244921182605544	0.0110329884554752	0.013457252678592881	0.06035491429666035	0.020229246828328596	0.06780813161455805	0.013465605369706587	0.0281830249035265	0.0203551623730226	0.037873812789864236	0.0077295982886986785	0.008341016755736801	0.027700653868239628	0.03455224515868967	0.012508620196725908	0.0	0.06878761945238583	0.031841184443782665	0.019201222833836868	0.016689229552792787	0.02433161108701246	0.0	0.0	0.03006445290419473	0.0	0.014462375122058353	0.021209127339007587	0.0	0.019962349603715096	0.027756661609261598
s__Oribacterium_sinus	0.01155374750803818	0.00885737787675982	0.022834473230266265	0.006214409428598212	0.0	0.0	0.01238768728198194	0.006305220494714759	0.01801917728361191	0.028920014685186266	0.005418815851270847	0.02850447042036729	0.014240511123841712	0.0	0.010905584809013498	0.019066693349065068	0.07101708428540991	0.010919059593363407	0.03203231878776998	0.011485092575371196	0.010432338287363613	0.012650507643440199	0.006611514109761551	0.026604900247198932	0.048732435012811576	0.008694488052067526	0.009401299206278352	0.008293221742293291	0.006637089384171915	0.023802798844668106	0.0	0.010368496593431554	0.0068394950557359785	0.013541409487732648	0.012980095201233421	0.011662473621723247	0.0	0.0	0.02072685989337083	0.0	0.20058682744615078	0.010384222672552606	0.0	0.015298126142363167	0.013001076265253335
