KO	R^2	PearsonCorr	PearsonPval	SpearmanCorr	SpearmanPval	MeanAbsDiff	StdAbsDiff
ko00472	0.6969904342870834	0.9687229998638693	1.0856130687650527e-129	0.9772241276968814	4.9740038552913916e-144	0.022276259849932156	0.030207048765403786
ko00523	-0.4570996940190173	0.5888126214216989	2.8834333959019926e-21	0.5925390111786927	1.4042897251731167e-21	0.5027483383100181	0.3771313286052321
ko00540	-1.431191921694908	0.9481286663082292	5.5168480044166e-107	0.9510780074557733	1.3412617679509982e-109	3.2762582933955122	2.4637258940507483
ko00592	0.21120831824743114	0.9463647639249892	1.710569619085193e-105	0.9237906720875421	6.366026388512834e-90	0.03459632749267722	0.04578473931962298
ko00623	0.6917204259193745	0.9496333614332244	2.676859676115653e-108	0.9478331814196767	9.888645923662157e-107	0.2870266523137704	0.23611819068942608
ko00630	-1.078516787649407	0.8405648779152463	4.35337785547448e-58	0.85849677504278	4.048003152673605e-63	1.3464715230909052	1.1583726359990294
ko00633	0.5160049943987592	0.9032564393505336	1.7910526534147033e-79	0.9120382673398885	1.2581789320970194e-83	0.1593800349797935	0.14691991616944494
ko00643	-0.8891673117584711	0.8696302615686216	1.3203105433591193e-66	0.9160157559712002	1.1829419433063806e-85	0.0794277005386674	0.1103881384727923
ko00680	0.6167290843670177	0.9022684893934391	4.9580622480974473e-79	0.9023733300880934	4.452560929562996e-79	0.8151674050014039	0.5219647425573356
ko00710	-1.1566850798048751	0.7949257318637203	1.1125266473688207e-47	0.8034440109179144	2.064665852641306e-49	0.8082633972810978	0.3919613211280653
ko00720	-3.5064227814899294	0.924845257920996	1.5489207591525978e-90	0.9304889467292203	5.557033325631373e-94	3.8522424324872855	1.0589394767886096
ko00760	-19.480374612528394	0.609639093274733	4.5749255295941504e-23	0.6028149145268366	1.838859558606113e-22	1.6237886495871356	0.5200971141059557
ko00860	-0.7592246354878542	0.9132090755398181	3.2605118168147025e-84	0.8746712331829098	2.7212659230386968e-68	3.1026364417635572	2.132899735579059
ko00901	-0.3707704974704662	0	1.0	0	0	0.0001853379087058323	0.00030437688871298556
ko00906	0.5989907273273166	0.8624806952043392	2.482477994453214e-64	0.8753480147327272	1.5954633400033633e-68	0.03707360918973444	0.04811110059055628
ko00910	0.5296957225470362	0.9621953522088128	3.7254832025541606e-121	0.9654605467401483	3.2149122571745993e-125	1.7521896536117865	1.477431392257965
ko00941	-1.5260041145239165	0.5384049102192902	2.083646423513284e-17	0.5155077710379256	7.382976876572199e-16	0.0383369462101924	0.023423859236468534
ko00944	-0.548036227726914	0.4210284502187367	1.4652174162012352e-10	0.6665044046681784	9.989742790944789e-29	0.004764410890553783	0.006884043586190691
ko00960	-0.1875291010439626	0.9156208107452869	1.8996026288784162e-85	0.926522634306988	1.5666223390019883e-91	0.2776089634590866	0.23704786437369965
ko00965	-0.4147591902659189	0	1.0	0	0	0.0006739801271215307	0.0010465237342647978
ko00984	-0.39734728519200346	0	1.0	0	0	0.003388012786498644	0.005374770386386057
ko01053	-3.263683382599731	0.9204762795222999	4.7528014162001343e-88	0.9132018348851706	3.2880473193313254e-84	0.34723567066047706	0.2596652551859528
ko01056	-1.0837208765976842	0	1.0	0	0	0.0014378684216314458	0.0013812122646320961
ko02040	0.17705629646518983	0.9557039137665405	4.8171519852468876e-114	0.9018269376442041	7.787998130915852e-79	0.42941198600999025	0.47717065209699944
ko03018	0.5087598580954964	0.9060689297217213	9.282823317740633e-81	0.9098216525391105	1.541474362688891e-82	0.42815989990656006	0.34798631882113557
ko04614	-3.9654209960693887	0	1.0	0	0	0.010107147093869399	0.00507555964074458
ko04964	0.7861047711275405	0.9341347668308274	2.2969968558729413e-96	0.9321132224487819	5.0036014830495956e-95	0.05741689175820844	0.049429421450958216
ko05134	0.5937372266811087	0.901354112799688	1.2600839417733497e-78	0.9210922384953346	2.163143506545291e-88	0.17950836984087792	0.12559267516380604
